DateTime,Ask,Bid,Ask Volume,Bid Volume
15.09.2023 09:03:03.850,1.0666,1.06657,0,0
15.09.2023 09:03:05.006,1.0666,1.06658,0,0
15.09.2023 09:03:05.118,1.0666,1.06657,0,0
15.09.2023 09:03:07.931,1.0666,1.06658,0,0
15.09.2023 09:03:08.311,1.06659,1.06657,0,0
15.09.2023 09:03:08.414,1.0666,1.06658,0,0
15.09.2023 09:03:08.517,1.06659,1.06657,0,0
15.09.2023 09:03:09.677,1.0666,1.06657,0,0
15.09.2023 09:03:09.780,1.06659,1.06657,0,0
15.09.2023 09:03:10.412,1.06659,1.06658,0,0
15.09.2023 09:03:15.401,1.06659,1.06656,0,0
15.09.2023 09:03:17.026,1.06659,1.06657,0,0
15.09.2023 09:03:22.814,1.06659,1.06656,0,0
15.09.2023 09:03:34.298,1.06659,1.06658,0,0
15.09.2023 09:03:34.350,1.0666,1.06659,0,0
15.09.2023 09:03:34.403,1.06662,1.06661,0,0
15.09.2023 09:03:34.455,1.06664,1.06663,0,0
15.09.2023 09:03:34.508,1.06665,1.06663,0,0
15.09.2023 09:03:34.716,1.06666,1.06663,0,0
15.09.2023 09:03:37.413,1.06666,1.06664,0,0
15.09.2023 09:03:37.466,1.06667,1.06666,0,0
15.09.2023 09:03:37.518,1.06668,1.06666,0,0
15.09.2023 09:03:37.622,1.06668,1.06667,0,0
15.09.2023 09:03:37.928,1.06669,1.06667,0,0
15.09.2023 09:03:38.134,1.0667,1.06668,0,0
15.09.2023 09:03:44.830,1.06671,1.06668,0,0
15.09.2023 09:03:48.151,1.06671,1.06667,0,0
15.09.2023 09:03:48.254,1.0667,1.06667,0,0
15.09.2023 09:03:48.356,1.06671,1.06667,0,0
15.09.2023 09:03:48.463,1.0667,1.06667,0,0
15.09.2023 09:03:48.695,1.06669,1.06667,0,0
15.09.2023 09:03:49.531,1.06667,1.06665,0,0
15.09.2023 09:03:49.634,1.06668,1.06664,0,0
15.09.2023 09:03:49.788,1.06667,1.06664,0,0
15.09.2023 09:03:49.892,1.06666,1.06663,0,0
15.09.2023 09:03:49.995,1.06666,1.06664,0,0
15.09.2023 09:03:50.251,1.06666,1.06663,0,0
15.09.2023 09:03:50.303,1.06668,1.06664,0,0
15.09.2023 09:03:50.356,1.06666,1.06663,0,0
